YEAR,MONTH,U.S._STATE,POSTAL.CODE,NERC.REGION,CLIMATE.REGION,OUTAGE.START.DATE,OUTAGE.START.TIME,OUTAGE.RESTORATION.DATE,OUTAGE.RESTORATION.TIME,CAUSE.CATEGORY,CAUSE.CATEGORY.DETAIL,OUTAGE.DURATION,DEMAND.LOSS.MW,CUSTOMERS.AFFECTED
2005,8,California,CA,WECC,West,2005-08-25,15:50:00,2005-08-25,20:00:00,system operability disruption,,250.0,,
2007,7,California,CA,WECC,West,2007-07-03,10:59:00,2007-07-05,18:00:00,public appeal,,3301.0,,
2005,8,California,CA,WECC,West,2005-08-25,15:51:00,2005-08-25,20:00:00,system operability disruption,transmission interruption,249.0,864.0,409000.0
2013,6,California,CA,WECC,West,2013-06-28,18:02:00,2013-06-28,20:46:00,equipment failure,,164.0,240.0,65255.0
2007,8,California,CA,WECC,West,2007-08-31,12:45:00,2007-08-31,20:00:00,severe weather,heatwave,435.0,,
2015,6,California,CA,WECC,West,2015-06-30,14:00:00,2015-06-30,21:00:00,public appeal,,420.0,,
2007,4,California,CA,WECC,West,2007-04-12,09:09:00,2007-04-12,23:23:00,equipment failure,generator trip,854.0,130.0,
2002,11,California,CA,WECC,West,2002-11-06,22:00:00,2002-11-10,12:00:00,severe weather,winter storm,5160.0,270.0,939000.0
2011,3,California,CA,WECC,West,2011-03-11,07:02:00,2011-03-11,09:15:00,system operability disruption,,133.0,15.0,6800.0
2008,1,California,CA,WECC,West,2008-01-04,04:00:00,2008-01-14,17:00:00,severe weather,winter storm,15180.0,500.0,2606931.0
2001,1,California,CA,WECC,West,2001-01-17,01:45:00,2001-01-18,12:00:00,system operability disruption,,2055.0,500.0,
2010,2,California,CA,WECC,West,2010-02-19,20:30:00,2010-02-20,04:01:00,system operability disruption,,451.0,1000.0,
2001,5,California,CA,WECC,West,2001-05-08,15:10:00,2001-05-08,17:30:00,public appeal,,140.0,400.0,
2010,10,California,CA,WECC,West,2010-10-31,22:26:00,2010-11-01,01:45:00,system operability disruption,,199.0,500.0,
2003,12,California,CA,WECC,West,2003-12-22,11:15:00,2003-12-22,23:16:00,severe weather,earthquake,721.0,220.0,109750.0
2008,7,California,CA,WECC,West,2008-07-10,14:22:00,2008-07-10,17:21:00,equipment failure,generator trip,179.0,240.0,
2010,12,California,CA,WECC,West,2010-12-14,07:36:00,2010-12-15,09:00:00,system operability disruption,,1524.0,464.0,
