Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Physical Attack,2012,2012-06-29,10:45 AM,2012-06-29,10:45 AM,Delmarva Power & Light Company,"New Castle, Delaware",RFC,0,0,"vandalism, physical"
Fuel Supply Deficiency (Water),2012,2012-06-19,5:30 AM,2012-06-21,5:30 AM,California Department of Water Resources,CAISO Territory California,WECC,UNK,UNK,"fuel supply emergency, hydro"
Vandalism,2012,2012-06-02,7:30 AM,2012-06-02,11:35 AM,Pacific Gas and Electric Company,"San Francisco, California",WECC,,,vandalism
Suspected Physical Attack,2012,2012-04-17,6:11 AM,2012-04-17,5:48 PM,San Diego Gas & Electric Company,"San Diego County, California",WECC,0,0,"vandalism, physical"
Suspected Physical Attack,2012,2012-04-04,3:32 PM,2012-04-06,3:30 PM,Western Area Power Authority - Sierra Nevada Region (WASN),"WAPA-SNR Regional Office, California",WECC,,,"vandalism, physical"
Suspected Physical Attack,2012,2012-03-16,4:00 PM,2012-03-16,4:00 PM,Delmarva Power & Light Company,"New Castle, Delaware",RFC,0,0,"vandalism, physical"
Electrical System Separation (Islanding),2012,2012-02-28,2:59 AM,2012-02-28,6:12 AM,Pacific Gas and Electric,"Sacramento, California",WECC,1,1,islanding
Suspected Physical Attack,2012,2012-02-13,7:02 AM,2012-02-13,4:25 PM,Progress Energy Carolinas,"Asheville, North Carolina",SERC,,,"vandalism, physical"
Severe Weather,2011,2011-12-01,12:45 AM,2011-12-07,9:00 PM,Southern California Edison (SCE),Southern California,WECC,UNK,"91,690",severe weather
Severe Weather,2011,2011-12-01,3:29 AM,2011-12-02,1:05 PM,Pacific Gas and Electric,Northern California,WECC,300,"100,000",severe weather
Severe Weather,2011,2011-11-30,4:56 PM,2011-12-02,10:00 AM,Los Angeles Department of Water and Power,"City of Los Angeles, California",WECC,UNK,"150,000",severe weather
Vandalism,2011,2011-11-13,11:30 AM,2011-11-13,12:00 PM,ISO New England / obo Public Service of New Hampshire,"Cate Road, Deerfield, New Hampshire",NPCC,0,0,vandalism
Severe Weather,2011,2011-10-29,12:57 PM,2011-11-03,11:00 PM,PPL Electric Utilities,"Harrisburg, Lehigh Valley, Lancaster Region Pennsylvania",RFC,UNK,"146,721",severe weather
Vandalism,2011,2011-09-20,12:55 PM,2011-09-20,5:00 PM,City of Tacoma (TPWR),"Lacamas Substaion, Washington",WECC,,,vandalism
Vandalism,2011,2011-09-13,11:43 AM,2011-09-14,4:00 PM,City of Tacoma (TPWR),"Lacamas Substation, Roy, Washington",WECC,,,vandalism
