antecedent,consequent,support,confidence,lift
"('fires_30day_level=Medium',)","('fires_7day_level=Medium', 'has_active_fire')",0.2381,0.7246,2.1739
"('fires_7day_level=Medium',)","('fires_30day_level=Medium', 'has_active_fire')",0.2381,0.6944,2.1135
"('fires_30day_level=Medium', 'has_active_fire')","('fires_7day_level=Medium',)",0.2381,0.7246,2.1135
"('fires_30day_level=Medium', 'fires_7day_level=Medium')","('has_active_fire',)",0.2381,1.0,1.0881
"('fires_7day_level=Medium', 'has_active_fire')","('fires_30day_level=Medium',)",0.2381,0.7143,2.1739
"('acres_7day_level=Medium', 'fires_30day_level=Medium')","('fires_7day_level=Medium',)",0.1524,0.8421,2.4561
"('fires_30day_level=Medium', 'fires_7day_level=Medium')","('acres_7day_level=Medium',)",0.1524,0.64,1.893
"('acres_7day_level=Medium', 'fires_7day_level=Medium')","('fires_30day_level=Medium',)",0.1524,0.8205,2.4972
"('OUTAGE.DURATION_level=Low', 'acres_7day_level=Medium')","('has_active_fire',)",0.1476,0.9687,1.0541
"('acres_7day_level=Medium', 'fires_30day_level=Medium')","('has_active_fire',)",0.181,1.0,1.0881
"('max_frp_level=Low',)","('CUSTOMERS.AFFECTED_level=Medium',)",0.2381,0.7143,1.0204
"('max_frp_level=Low',)","('has_active_fire',)",0.2667,0.8,0.8705
"('DEMAND.LOSS.MW_level=Low',)","('has_active_fire',)",0.2714,0.8261,0.8989
"('max_frp_level=Low',)","('CUSTOMERS.AFFECTED_level=Medium', 'has_active_fire')",0.2095,0.6286,0.9496
"('CUSTOMERS.AFFECTED_level=Medium', 'max_frp_level=Low')","('has_active_fire',)",0.2095,0.88,0.9575
"('has_active_fire', 'max_frp_level=Low')","('CUSTOMERS.AFFECTED_level=Medium',)",0.2095,0.7857,1.1224
"('is_high_severity',)","('CUSTOMERS.AFFECTED_level=Medium',)",0.319,0.8816,1.2594
"('is_high_severity',)","('has_active_fire',)",0.319,0.8816,0.9592
"('acres_30day_level=Medium', 'is_high_fire_activity')","('has_active_fire',)",0.1762,1.0,1.0881
"('acres_30day_level=Medium', 'is_wildfire_season')","('has_active_fire',)",0.1619,0.9444,1.0276
"('is_high_severity',)","('CUSTOMERS.AFFECTED_level=Medium', 'has_active_fire')",0.2905,0.8026,1.2126
"('has_active_fire', 'is_high_severity')","('CUSTOMERS.AFFECTED_level=Medium',)",0.2905,0.9104,1.3006
"('CUSTOMERS.AFFECTED_level=Medium', 'is_high_severity')","('has_active_fire',)",0.2905,0.9104,0.9906
"('DEMAND.LOSS.MW_level=High', 'is_high_severity')","('CUSTOMERS.AFFECTED_level=Medium',)",0.1571,0.8919,1.2741
"('is_high_severity', 'is_wildfire_season')","('has_active_fire',)",0.1476,0.9687,1.0541
"('DEMAND.LOSS.MW_level=High', 'is_high_severity')","('has_active_fire',)",0.1619,0.9189,0.9999
"('acres_7day_level=Medium', 'is_high_fire_activity')","('has_active_fire',)",0.1857,1.0,1.0881
"('fires_7day_level=Medium', 'is_wildfire_season')","('has_active_fire',)",0.1714,1.0,1.0881
"('acres_7day_level=Medium', 'is_wildfire_season')","('has_active_fire',)",0.2,1.0,1.0881
"('acres_7day_level=Medium', 'has_active_fire')","('is_wildfire_season',)",0.2,0.6,1.2233
"('fires_30day_level=Medium', 'is_wildfire_season')","('has_active_fire',)",0.1476,1.0,1.0881
"('season=Winter',)","('max_frp_level=Low',)",0.1762,0.6271,1.8814
"('max_frp_level=Low',)","('acres_7day_level=Low',)",0.2,0.6,1.8261
"('acres_7day_level=Low',)","('max_frp_level=Low',)",0.2,0.6087,1.8261
"('is_long_duration',)","('CUSTOMERS.AFFECTED_level=Medium',)",0.3,0.7975,1.1392
"('is_long_duration',)","('has_active_fire',)",0.3333,0.8861,0.9641
"('season=Winter',)","('is_long_duration',)",0.1714,0.6102,1.622
"('season=Winter',)","('CUSTOMERS.AFFECTED_level=Medium',)",0.2095,0.7458,1.0654
"('acres_7day_level=Low',)","('CUSTOMERS.AFFECTED_level=Medium',)",0.2333,0.7101,1.0145
"('season=Winter',)","('has_active_fire',)",0.2286,0.8136,0.8852
"('acres_7day_level=Low',)","('has_active_fire',)",0.2524,0.7681,0.8358
"('acres_7day_level=Low',)","('season=Winter',)",0.2238,0.6812,2.4245
"('season=Winter',)","('acres_7day_level=Low',)",0.2238,0.7966,2.4245
"('acres_7day_level=Low', 'max_frp_level=Low')","('season=Winter',)",0.1524,0.7619,2.7119
"('max_frp_level=Low', 'season=Winter')","('acres_7day_level=Low',)",0.1524,0.8649,2.6322
"('acres_7day_level=Low', 'season=Winter')","('max_frp_level=Low',)",0.1524,0.6809,2.0426
"('is_high_severity', 'is_long_duration')","('CUSTOMERS.AFFECTED_level=Medium',)",0.1857,0.907,1.2957
"('CUSTOMERS.AFFECTED_level=Medium', 'is_long_duration')","('is_high_severity',)",0.1857,0.619,1.7105
"('is_high_severity', 'is_long_duration')","('has_active_fire',)",0.1762,0.8605,0.9363
"('is_long_duration',)","('CUSTOMERS.AFFECTED_level=Medium', 'has_active_fire')",0.2714,0.7215,1.0901
"('CUSTOMERS.AFFECTED_level=Medium', 'is_long_duration')","('has_active_fire',)",0.2714,0.9048,0.9845
"('has_active_fire', 'is_long_duration')","('CUSTOMERS.AFFECTED_level=Medium',)",0.2714,0.8143,1.1633
"('CUSTOMERS.AFFECTED_level=Medium', 'season=Winter')","('is_long_duration',)",0.1524,0.7273,1.9333
"('is_long_duration', 'season=Winter')","('CUSTOMERS.AFFECTED_level=Medium',)",0.1524,0.8889,1.2698
"('season=Winter',)","('CUSTOMERS.AFFECTED_level=Medium', 'has_active_fire')",0.1762,0.6271,0.9474
"('CUSTOMERS.AFFECTED_level=Medium', 'season=Winter')","('has_active_fire',)",0.1762,0.8409,0.915
"('has_active_fire', 'season=Winter')","('CUSTOMERS.AFFECTED_level=Medium',)",0.1762,0.7708,1.1012
"('CUSTOMERS.AFFECTED_level=Medium', 'acres_7day_level=Low')","('has_active_fire',)",0.1952,0.8367,0.9104
"('acres_7day_level=Low', 'has_active_fire')","('CUSTOMERS.AFFECTED_level=Medium',)",0.1952,0.7736,1.1051
"('season=Winter',)","('CUSTOMERS.AFFECTED_level=Medium', 'acres_7day_level=Low')",0.1714,0.6102,2.615
"('CUSTOMERS.AFFECTED_level=Medium', 'acres_7day_level=Low')","('season=Winter',)",0.1714,0.7347,2.615
"('CUSTOMERS.AFFECTED_level=Medium', 'season=Winter')","('acres_7day_level=Low',)",0.1714,0.8182,2.4901
"('acres_7day_level=Low', 'season=Winter')","('CUSTOMERS.AFFECTED_level=Medium',)",0.1714,0.766,1.0942
"('season=Winter',)","('acres_7day_level=Low', 'has_active_fire')",0.1714,0.6102,2.4177
"('acres_7day_level=Low', 'has_active_fire')","('season=Winter',)",0.1714,0.6792,2.4177
"('has_active_fire', 'season=Winter')","('acres_7day_level=Low',)",0.1714,0.75,2.2826
"('acres_7day_level=Low', 'season=Winter')","('has_active_fire',)",0.1714,0.766,0.8334
"('OUTAGE.DURATION_level=High',)","('is_long_duration',)",0.3333,1.0,2.6582
"('is_long_duration',)","('OUTAGE.DURATION_level=High',)",0.3333,0.8861,2.6582
"('CUSTOMERS.AFFECTED_level=Low',)","('DEMAND.LOSS.MW_level=Low',)",0.219,0.7302,2.2222
"('DEMAND.LOSS.MW_level=Low',)","('CUSTOMERS.AFFECTED_level=Low',)",0.219,0.6667,2.2222
"('max_frp_level=Medium',)","('has_active_fire',)",0.319,0.9571,1.0415
"('CUSTOMERS.AFFECTED_level=Low',)","('has_active_fire',)",0.2571,0.8571,0.9326
"('OUTAGE.DURATION_level=High',)","('has_active_fire',)",0.2952,0.8857,0.9637
"('acres_30day_level=Medium', 'max_frp_level=Medium')","('has_active_fire',)",0.1524,1.0,1.0881
"('OUTAGE.DURATION_level=High',)","('has_active_fire', 'is_long_duration')",0.2952,0.8857,2.6571
"('is_long_duration',)","('OUTAGE.DURATION_level=High', 'has_active_fire')",0.2952,0.7848,2.6582
"('OUTAGE.DURATION_level=High', 'has_active_fire')","('is_long_duration',)",0.2952,1.0,2.6582
"('has_active_fire', 'is_long_duration')","('OUTAGE.DURATION_level=High',)",0.2952,0.8857,2.6571
"('OUTAGE.DURATION_level=High', 'is_long_duration')","('has_active_fire',)",0.2952,0.8857,0.9637
"('is_high_fire_activity', 'max_frp_level=Medium')","('has_active_fire',)",0.1619,1.0,1.0881
"('CUSTOMERS.AFFECTED_level=Low', 'is_high_fire_activity')","('has_active_fire',)",0.1476,1.0,1.0881
"('CUSTOMERS.AFFECTED_level=Low', 'has_active_fire')","('DEMAND.LOSS.MW_level=Low',)",0.1762,0.6852,2.0853
"('DEMAND.LOSS.MW_level=Low', 'has_active_fire')","('CUSTOMERS.AFFECTED_level=Low',)",0.1762,0.6491,2.1637
"('CUSTOMERS.AFFECTED_level=Low', 'DEMAND.LOSS.MW_level=Low')","('has_active_fire',)",0.1762,0.8043,0.8752
"('acres_7day_level=Medium', 'max_frp_level=Medium')","('has_active_fire',)",0.181,1.0,1.0881
"('max_frp_level=Low',)","('fires_30day_level=Low',)",0.2048,0.6143,1.8696
"('fires_30day_level=Low',)","('max_frp_level=Low',)",0.2048,0.6232,1.8696
"('fires_7day_level=Low',)","('max_frp_level=Low',)",0.2,0.6176,1.8529
"('max_frp_level=Low',)","('fires_7day_level=Low',)",0.2,0.6,1.8529
"('fires_30day_level=Low',)","('CUSTOMERS.AFFECTED_level=Medium',)",0.2238,0.6812,0.9731
"('fires_7day_level=Low',)","('CUSTOMERS.AFFECTED_level=Medium',)",0.2238,0.6912,0.9874
"('acres_30day_level=Low',)","('CUSTOMERS.AFFECTED_level=Medium',)",0.219,0.6571,0.9388
"('fires_30day_level=Low',)","('has_active_fire',)",0.2476,0.7536,0.82
"('fires_7day_level=Low',)","('has_active_fire',)",0.2524,0.7794,0.8481
"('acres_30day_level=Low',)","('has_active_fire',)",0.2714,0.8143,0.886
"('fires_30day_level=Low',)","('season=Winter',)",0.2238,0.6812,2.4245
"('season=Winter',)","('fires_30day_level=Low',)",0.2238,0.7966,2.4245
"('fires_7day_level=Low',)","('fires_30day_level=Low',)",0.281,0.8676,2.6407
"('fires_30day_level=Low',)","('fires_7day_level=Low',)",0.281,0.8551,2.6407
"('acres_30day_level=Low',)","('fires_30day_level=Low',)",0.2714,0.8143,2.4783
"('fires_30day_level=Low',)","('acres_30day_level=Low',)",0.2714,0.8261,2.4783
"('fires_30day_level=Low',)","('acres_7day_level=Low',)",0.2714,0.8261,2.5142
"('acres_7day_level=Low',)","('fires_30day_level=Low',)",0.2714,0.8261,2.5142
"('fires_7day_level=Low',)","('season=Winter',)",0.2143,0.6618,2.3554
"('season=Winter',)","('fires_7day_level=Low',)",0.2143,0.7627,2.3554
"('acres_30day_level=Low',)","('season=Winter',)",0.2095,0.6286,2.2373
"('season=Winter',)","('acres_30day_level=Low',)",0.2095,0.7458,2.2373
"('fires_7day_level=Low',)","('acres_30day_level=Low',)",0.2524,0.7794,2.3382
"('acres_30day_level=Low',)","('fires_7day_level=Low',)",0.2524,0.7571,2.3382
"('fires_7day_level=Low',)","('acres_7day_level=Low',)",0.2714,0.8382,2.5512
"('acres_7day_level=Low',)","('fires_7day_level=Low',)",0.2714,0.8261,2.5512
"('acres_30day_level=Low',)","('acres_7day_level=Low',)",0.2619,0.7857,2.3913
"('acres_7day_level=Low',)","('acres_30day_level=Low',)",0.2619,0.7971,2.3913
"('fires_7day_level=Low', 'max_frp_level=Low')","('fires_30day_level=Low',)",0.1905,0.9524,2.8986
"('fires_30day_level=Low', 'fires_7day_level=Low')","('max_frp_level=Low',)",0.1905,0.678,2.0339
"('fires_30day_level=Low', 'max_frp_level=Low')","('fires_7day_level=Low',)",0.1905,0.9302,2.8728
"('acres_30day_level=Low', 'max_frp_level=Low')","('fires_30day_level=Low',)",0.1714,0.9,2.7391
"('acres_30day_level=Low', 'fires_30day_level=Low')","('max_frp_level=Low',)",0.1714,0.6316,1.8947
"('fires_30day_level=Low', 'max_frp_level=Low')","('acres_30day_level=Low',)",0.1714,0.8372,2.5116
"('fires_30day_level=Low', 'max_frp_level=Low')","('acres_7day_level=Low',)",0.1714,0.8372,2.548
"('acres_7day_level=Low', 'max_frp_level=Low')","('fires_30day_level=Low',)",0.1714,0.8571,2.6087
"('acres_7day_level=Low', 'fires_30day_level=Low')","('max_frp_level=Low',)",0.1714,0.6316,1.8947
"('acres_30day_level=Low', 'fires_7day_level=Low')","('max_frp_level=Low',)",0.1571,0.6226,1.8679
"('fires_7day_level=Low', 'max_frp_level=Low')","('acres_30day_level=Low',)",0.1571,0.7857,2.3571
"('acres_30day_level=Low', 'max_frp_level=Low')","('fires_7day_level=Low',)",0.1571,0.825,2.5478
"('fires_7day_level=Low', 'max_frp_level=Low')","('acres_7day_level=Low',)",0.1619,0.8095,2.4638
"('acres_7day_level=Low', 'max_frp_level=Low')","('fires_7day_level=Low',)",0.1619,0.8095,2.5
"('acres_30day_level=Low', 'max_frp_level=Low')","('acres_7day_level=Low',)",0.1619,0.85,2.587
"('acres_30day_level=Low', 'acres_7day_level=Low')","('max_frp_level=Low',)",0.1619,0.6182,1.8545
"('acres_7day_level=Low', 'max_frp_level=Low')","('acres_30day_level=Low',)",0.1619,0.8095,2.4286
"('CUSTOMERS.AFFECTED_level=Medium', 'fires_30day_level=Low')","('has_active_fire',)",0.1857,0.8298,0.9029
"('fires_30day_level=Low', 'has_active_fire')","('CUSTOMERS.AFFECTED_level=Medium',)",0.1857,0.75,1.0714
"('fires_7day_level=Low',)","('CUSTOMERS.AFFECTED_level=Medium', 'has_active_fire')",0.1952,0.6029,0.9109
"('CUSTOMERS.AFFECTED_level=Medium', 'fires_7day_level=Low')","('has_active_fire',)",0.1952,0.8723,0.9492
"('fires_7day_level=Low', 'has_active_fire')","('CUSTOMERS.AFFECTED_level=Medium',)",0.1952,0.7736,1.1051
"('CUSTOMERS.AFFECTED_level=Medium', 'acres_30day_level=Low')","('has_active_fire',)",0.1857,0.8478,0.9225
"('acres_30day_level=Low', 'has_active_fire')","('CUSTOMERS.AFFECTED_level=Medium',)",0.1857,0.6842,0.9774
"('CUSTOMERS.AFFECTED_level=Medium', 'fires_30day_level=Low')","('season=Winter',)",0.1571,0.7021,2.4991
"('CUSTOMERS.AFFECTED_level=Medium', 'season=Winter')","('fires_30day_level=Low',)",0.1571,0.75,2.2826
"('fires_30day_level=Low', 'season=Winter')","('CUSTOMERS.AFFECTED_level=Medium',)",0.1571,0.7021,1.003
"('CUSTOMERS.AFFECTED_level=Medium', 'fires_7day_level=Low')","('fires_30day_level=Low',)",0.1857,0.8298,2.5254
"('CUSTOMERS.AFFECTED_level=Medium', 'fires_30day_level=Low')","('fires_7day_level=Low',)",0.1857,0.8298,2.5626
"('fires_30day_level=Low', 'fires_7day_level=Low')","('CUSTOMERS.AFFECTED_level=Medium',)",0.1857,0.661,0.9443
"('CUSTOMERS.AFFECTED_level=Medium', 'acres_30day_level=Low')","('fires_30day_level=Low',)",0.181,0.8261,2.5142
"('CUSTOMERS.AFFECTED_level=Medium', 'fires_30day_level=Low')","('acres_30day_level=Low',)",0.181,0.8085,2.4255
"('acres_30day_level=Low', 'fires_30day_level=Low')","('CUSTOMERS.AFFECTED_level=Medium',)",0.181,0.6667,0.9524
"('CUSTOMERS.AFFECTED_level=Medium', 'fires_30day_level=Low')","('acres_7day_level=Low',)",0.1857,0.8298,2.5254
"('CUSTOMERS.AFFECTED_level=Medium', 'acres_7day_level=Low')","('fires_30day_level=Low',)",0.1857,0.7959,2.4224
"('acres_7day_level=Low', 'fires_30day_level=Low')","('CUSTOMERS.AFFECTED_level=Medium',)",0.1857,0.6842,0.9774
"('CUSTOMERS.AFFECTED_level=Medium', 'fires_7day_level=Low')","('season=Winter',)",0.1524,0.6809,2.4234
"('CUSTOMERS.AFFECTED_level=Medium', 'season=Winter')","('fires_7day_level=Low',)",0.1524,0.7273,2.246
"('fires_7day_level=Low', 'season=Winter')","('CUSTOMERS.AFFECTED_level=Medium',)",0.1524,0.7111,1.0159
"('CUSTOMERS.AFFECTED_level=Medium', 'acres_30day_level=Low')","('fires_7day_level=Low',)",0.1714,0.7826,2.4169
"('CUSTOMERS.AFFECTED_level=Medium', 'fires_7day_level=Low')","('acres_30day_level=Low',)",0.1714,0.766,2.2979
"('acres_30day_level=Low', 'fires_7day_level=Low')","('CUSTOMERS.AFFECTED_level=Medium',)",0.1714,0.6792,0.9704
"('CUSTOMERS.AFFECTED_level=Medium', 'fires_7day_level=Low')","('acres_7day_level=Low',)",0.1905,0.8511,2.5902
"('CUSTOMERS.AFFECTED_level=Medium', 'acres_7day_level=Low')","('fires_7day_level=Low',)",0.1905,0.8163,2.521
"('acres_7day_level=Low', 'fires_7day_level=Low')","('CUSTOMERS.AFFECTED_level=Medium',)",0.1905,0.7018,1.0025
"('CUSTOMERS.AFFECTED_level=Medium', 'acres_30day_level=Low')","('acres_7day_level=Low',)",0.181,0.8261,2.5142
"('CUSTOMERS.AFFECTED_level=Medium', 'acres_7day_level=Low')","('acres_30day_level=Low',)",0.181,0.7755,2.3265
"('acres_30day_level=Low', 'acres_7day_level=Low')","('CUSTOMERS.AFFECTED_level=Medium',)",0.181,0.6909,0.987
"('season=Winter',)","('fires_30day_level=Low', 'has_active_fire')",0.1714,0.6102,2.4641
"('fires_30day_level=Low', 'has_active_fire')","('season=Winter',)",0.1714,0.6923,2.4641
"('has_active_fire', 'season=Winter')","('fires_30day_level=Low',)",0.1714,0.75,2.2826
"('fires_30day_level=Low', 'season=Winter')","('has_active_fire',)",0.1714,0.766,0.8334
"('fires_7day_level=Low',)","('fires_30day_level=Low', 'has_active_fire')",0.2095,0.6471,2.6131
"('fires_30day_level=Low',)","('fires_7day_level=Low', 'has_active_fire')",0.2095,0.6377,2.5267
"('fires_7day_level=Low', 'has_active_fire')","('fires_30day_level=Low',)",0.2095,0.8302,2.5267
"('fires_30day_level=Low', 'fires_7day_level=Low')","('has_active_fire',)",0.2095,0.7458,0.8115
"('fires_30day_level=Low', 'has_active_fire')","('fires_7day_level=Low',)",0.2095,0.8462,2.6131
"('acres_30day_level=Low',)","('fires_30day_level=Low', 'has_active_fire')",0.2095,0.6286,2.5385
"('fires_30day_level=Low',)","('acres_30day_level=Low', 'has_active_fire')",0.2095,0.6377,2.3494
"('acres_30day_level=Low', 'has_active_fire')","('fires_30day_level=Low',)",0.2095,0.7719,2.3494
"('acres_30day_level=Low', 'fires_30day_level=Low')","('has_active_fire',)",0.2095,0.7719,0.8399
"('fires_30day_level=Low', 'has_active_fire')","('acres_30day_level=Low',)",0.2095,0.8462,2.5385
"('fires_30day_level=Low', 'has_active_fire')","('acres_7day_level=Low',)",0.1952,0.7885,2.3997
"('acres_7day_level=Low', 'has_active_fire')","('fires_30day_level=Low',)",0.1952,0.7736,2.3544
"('acres_7day_level=Low', 'fires_30day_level=Low')","('has_active_fire',)",0.1952,0.7193,0.7827
"('season=Winter',)","('fires_7day_level=Low', 'has_active_fire')",0.1714,0.6102,2.4177
"('fires_7day_level=Low', 'has_active_fire')","('season=Winter',)",0.1714,0.6792,2.4177
"('fires_7day_level=Low', 'season=Winter')","('has_active_fire',)",0.1714,0.8,0.8705
"('has_active_fire', 'season=Winter')","('fires_7day_level=Low',)",0.1714,0.75,2.3162
"('acres_30day_level=Low', 'season=Winter')","('has_active_fire',)",0.1619,0.7727,0.8408
"('has_active_fire', 'season=Winter')","('acres_30day_level=Low',)",0.1619,0.7083,2.125
"('fires_7day_level=Low',)","('acres_30day_level=Low', 'has_active_fire')",0.2,0.6176,2.2755
"('acres_30day_level=Low',)","('fires_7day_level=Low', 'has_active_fire')",0.2,0.6,2.3774
"('acres_30day_level=Low', 'fires_7day_level=Low')","('has_active_fire',)",0.2,0.7925,0.8623
"('fires_7day_level=Low', 'has_active_fire')","('acres_30day_level=Low',)",0.2,0.7925,2.3774
"('acres_30day_level=Low', 'has_active_fire')","('fires_7day_level=Low',)",0.2,0.7368,2.2755
"('fires_7day_level=Low',)","('acres_7day_level=Low', 'has_active_fire')",0.2048,0.6324,2.5055
"('acres_7day_level=Low',)","('fires_7day_level=Low', 'has_active_fire')",0.2048,0.6232,2.4692
"('fires_7day_level=Low', 'has_active_fire')","('acres_7day_level=Low',)",0.2048,0.8113,2.4692
"('acres_7day_level=Low', 'fires_7day_level=Low')","('has_active_fire',)",0.2048,0.7544,0.8208
"('acres_7day_level=Low', 'has_active_fire')","('fires_7day_level=Low',)",0.2048,0.8113,2.5055
"('acres_30day_level=Low',)","('acres_7day_level=Low', 'has_active_fire')",0.2,0.6,2.3774
"('acres_7day_level=Low',)","('acres_30day_level=Low', 'has_active_fire')",0.2,0.6087,2.2426
"('acres_30day_level=Low', 'has_active_fire')","('acres_7day_level=Low',)",0.2,0.7368,2.2426
"('acres_30day_level=Low', 'acres_7day_level=Low')","('has_active_fire',)",0.2,0.7636,0.8309
"('acres_7day_level=Low', 'has_active_fire')","('acres_30day_level=Low',)",0.2,0.7925,2.3774
"('fires_7day_level=Low',)","('fires_30day_level=Low', 'season=Winter')",0.1952,0.6029,2.694
"('season=Winter',)","('fires_30day_level=Low', 'fires_7day_level=Low')",0.1952,0.6949,2.4734
"('fires_30day_level=Low', 'fires_7day_level=Low')","('season=Winter',)",0.1952,0.6949,2.4734
"('fires_7day_level=Low', 'season=Winter')","('fires_30day_level=Low',)",0.1952,0.9111,2.7729
"('fires_30day_level=Low', 'season=Winter')","('fires_7day_level=Low',)",0.1952,0.8723,2.694
"('season=Winter',)","('acres_30day_level=Low', 'fires_30day_level=Low')",0.1952,0.6949,2.5602
"('acres_30day_level=Low', 'fires_30day_level=Low')","('season=Winter',)",0.1952,0.7193,2.5602
"('acres_30day_level=Low', 'season=Winter')","('fires_30day_level=Low',)",0.1952,0.9318,2.836
"('fires_30day_level=Low', 'season=Winter')","('acres_30day_level=Low',)",0.1952,0.8723,2.617
"('season=Winter',)","('acres_7day_level=Low', 'fires_30day_level=Low')",0.1952,0.6949,2.5602
"('acres_7day_level=Low', 'fires_30day_level=Low')","('season=Winter',)",0.1952,0.7193,2.5602
"('fires_30day_level=Low', 'season=Winter')","('acres_7day_level=Low',)",0.1952,0.8723,2.6549
"('acres_7day_level=Low', 'season=Winter')","('fires_30day_level=Low',)",0.1952,0.8723,2.6549
"('fires_7day_level=Low',)","('acres_30day_level=Low', 'fires_30day_level=Low')",0.2333,0.7206,2.6548
"('acres_30day_level=Low',)","('fires_30day_level=Low', 'fires_7day_level=Low')",0.2333,0.7,2.4915
"('fires_30day_level=Low',)","('acres_30day_level=Low', 'fires_7day_level=Low')",0.2333,0.7101,2.8138
"('acres_30day_level=Low', 'fires_7day_level=Low')","('fires_30day_level=Low',)",0.2333,0.9245,2.8138
"('fires_30day_level=Low', 'fires_7day_level=Low')","('acres_30day_level=Low',)",0.2333,0.8305,2.4915
"('acres_30day_level=Low', 'fires_30day_level=Low')","('fires_7day_level=Low',)",0.2333,0.8596,2.6548
"('fires_7day_level=Low',)","('acres_7day_level=Low', 'fires_30day_level=Low')",0.2381,0.7353,2.709
"('fires_30day_level=Low',)","('acres_7day_level=Low', 'fires_7day_level=Low')",0.2381,0.7246,2.6697
"('acres_7day_level=Low',)","('fires_30day_level=Low', 'fires_7day_level=Low')",0.2381,0.7246,2.5792
"('fires_30day_level=Low', 'fires_7day_level=Low')","('acres_7day_level=Low',)",0.2381,0.8475,2.5792
"('acres_7day_level=Low', 'fires_7day_level=Low')","('fires_30day_level=Low',)",0.2381,0.8772,2.6697
"('acres_7day_level=Low', 'fires_30day_level=Low')","('fires_7day_level=Low',)",0.2381,0.8772,2.709
"('acres_30day_level=Low',)","('acres_7day_level=Low', 'fires_30day_level=Low')",0.2381,0.7143,2.6316
"('fires_30day_level=Low',)","('acres_30day_level=Low', 'acres_7day_level=Low')",0.2381,0.7246,2.7668
"('acres_7day_level=Low',)","('acres_30day_level=Low', 'fires_30day_level=Low')",0.2381,0.7246,2.6697
"('acres_30day_level=Low', 'fires_30day_level=Low')","('acres_7day_level=Low',)",0.2381,0.8772,2.6697
"('acres_30day_level=Low', 'acres_7day_level=Low')","('fires_30day_level=Low',)",0.2381,0.9091,2.7668
"('acres_7day_level=Low', 'fires_30day_level=Low')","('acres_30day_level=Low',)",0.2381,0.8772,2.6316
"('season=Winter',)","('acres_30day_level=Low', 'fires_7day_level=Low')",0.1857,0.661,2.6191
"('acres_30day_level=Low', 'fires_7day_level=Low')","('season=Winter',)",0.1857,0.7358,2.6191
"('fires_7day_level=Low', 'season=Winter')","('acres_30day_level=Low',)",0.1857,0.8667,2.6
"('acres_30day_level=Low', 'season=Winter')","('fires_7day_level=Low',)",0.1857,0.8864,2.7373
"('season=Winter',)","('acres_7day_level=Low', 'fires_7day_level=Low')",0.1905,0.678,2.4978
"('acres_7day_level=Low', 'fires_7day_level=Low')","('season=Winter',)",0.1905,0.7018,2.4978
"('fires_7day_level=Low', 'season=Winter')","('acres_7day_level=Low',)",0.1905,0.8889,2.7053
"('acres_7day_level=Low', 'season=Winter')","('fires_7day_level=Low',)",0.1905,0.8511,2.6283
"('season=Winter',)","('acres_30day_level=Low', 'acres_7day_level=Low')",0.1857,0.661,2.5239
"('acres_30day_level=Low', 'acres_7day_level=Low')","('season=Winter',)",0.1857,0.7091,2.5239
"('acres_30day_level=Low', 'season=Winter')","('acres_7day_level=Low',)",0.1857,0.8864,2.6976
"('acres_7day_level=Low', 'season=Winter')","('acres_30day_level=Low',)",0.1857,0.8298,2.4894
"('fires_7day_level=Low',)","('acres_30day_level=Low', 'acres_7day_level=Low')",0.219,0.6765,2.5829
"('acres_30day_level=Low',)","('acres_7day_level=Low', 'fires_7day_level=Low')",0.219,0.6571,2.4211
"('acres_7day_level=Low',)","('acres_30day_level=Low', 'fires_7day_level=Low')",0.219,0.6667,2.6415
"('acres_30day_level=Low', 'fires_7day_level=Low')","('acres_7day_level=Low',)",0.219,0.8679,2.6415
"('acres_7day_level=Low', 'fires_7day_level=Low')","('acres_30day_level=Low',)",0.219,0.807,2.4211
"('acres_30day_level=Low', 'acres_7day_level=Low')","('fires_7day_level=Low',)",0.219,0.8364,2.5829
"('season=Summer',)","('fires_30day_level=High',)",0.2619,0.9167,2.6736
"('fires_30day_level=High',)","('season=Summer',)",0.2619,0.7639,2.6736
"('season=Summer',)","('is_high_fire_activity',)",0.281,0.9833,2.1737
"('is_high_fire_activity',)","('season=Summer',)",0.281,0.6211,2.1737
"('season=Summer',)","('CUSTOMERS.AFFECTED_level=Medium',)",0.181,0.6333,0.9048
"('season=Summer',)","('acres_30day_level=High',)",0.1952,0.6833,2.05
"('season=Summer',)","('acres_7day_level=High',)",0.1857,0.65,1.95
"('season=Summer',)","('is_wildfire_season',)",0.2857,1.0,2.0388
"('season=Summer',)","('fires_7day_level=High',)",0.2571,0.9,2.7
"('fires_7day_level=High',)","('season=Summer',)",0.2571,0.7714,2.7
"('season=Summer',)","('has_active_fire',)",0.2857,1.0,1.0881
"('season=Summer',)","('fires_30day_level=High', 'is_high_fire_activity')",0.2571,0.9,2.8209
"('fires_30day_level=High',)","('is_high_fire_activity', 'season=Summer')",0.2571,0.75,2.6695
"('fires_30day_level=High', 'season=Summer')","('is_high_fire_activity',)",0.2571,0.9818,2.1703
"('is_high_fire_activity', 'season=Summer')","('fires_30day_level=High',)",0.2571,0.9153,2.6695
"('fires_30day_level=High', 'is_high_fire_activity')","('season=Summer',)",0.2571,0.806,2.8209
"('season=Summer',)","('CUSTOMERS.AFFECTED_level=Medium', 'fires_30day_level=High')",0.181,0.6333,2.5094
"('fires_30day_level=High', 'season=Summer')","('CUSTOMERS.AFFECTED_level=Medium',)",0.181,0.6909,0.987
