antecedent,consequent,support,confidence,lift
"('fires_30day_level=High', 'is_high_fire_activity')","('fires_7day_level=High',)",0.2857,0.8955,2.6866
"('fires_7day_level=High', 'is_high_fire_activity')","('fires_30day_level=High',)",0.2857,0.8824,2.5735
"('fires_30day_level=High', 'fires_7day_level=High')","('is_high_fire_activity',)",0.2857,1.0,2.2105
"('is_high_fire_activity',)","('fires_30day_level=High', 'has_active_fire')",0.319,0.7053,2.057
"('fires_30day_level=High',)","('has_active_fire', 'is_high_fire_activity')",0.319,0.9306,2.057
"('fires_30day_level=High', 'is_high_fire_activity')","('has_active_fire',)",0.319,1.0,1.0881
"('has_active_fire', 'is_high_fire_activity')","('fires_30day_level=High',)",0.319,0.7053,2.057
"('fires_30day_level=High', 'has_active_fire')","('is_high_fire_activity',)",0.319,0.9306,2.057
"('DEMAND.LOSS.MW_level=Medium', 'is_high_fire_activity')","('fires_30day_level=High',)",0.1762,0.8409,2.4527
"('DEMAND.LOSS.MW_level=Medium', 'fires_30day_level=High')","('is_high_fire_activity',)",0.1762,0.9737,2.1524
"('acres_30day_level=High',)","('acres_7day_level=High', 'fires_30day_level=High')",0.2,0.6,2.52
"('acres_7day_level=High',)","('acres_30day_level=High', 'fires_30day_level=High')",0.2,0.6,2.3774
"('acres_30day_level=High', 'fires_30day_level=High')","('acres_7day_level=High',)",0.2,0.7925,2.3774
"('acres_7day_level=High', 'fires_30day_level=High')","('acres_30day_level=High',)",0.2,0.84,2.52
"('acres_30day_level=High', 'acres_7day_level=High')","('fires_30day_level=High',)",0.2,0.7925,2.3113
"('acres_30day_level=High', 'fires_30day_level=High')","('max_frp_level=High',)",0.1762,0.6981,2.0943
"('fires_30day_level=High', 'max_frp_level=High')","('acres_30day_level=High',)",0.1762,0.8409,2.5227
"('acres_30day_level=High', 'max_frp_level=High')","('fires_30day_level=High',)",0.1762,0.8043,2.346
"('acres_30day_level=High',)","('CUSTOMERS.AFFECTED_level=Medium', 'fires_30day_level=High')",0.2,0.6,2.3774
"('CUSTOMERS.AFFECTED_level=Medium', 'fires_30day_level=High')","('acres_30day_level=High',)",0.2,0.7925,2.3774
"('CUSTOMERS.AFFECTED_level=Medium', 'acres_30day_level=High')","('fires_30day_level=High',)",0.2,0.75,2.1875
"('acres_30day_level=High', 'fires_30day_level=High')","('CUSTOMERS.AFFECTED_level=Medium',)",0.2,0.7925,1.1321
