outage_date,outage_year,outage_month,outage_dayofweek,outage_quarter,season,is_wildfire_season,is_weekend,CAUSE.CATEGORY,CAUSE.CATEGORY.DETAIL,OUTAGE.DURATION,DEMAND.LOSS.MW,CUSTOMERS.AFFECTED,duration_category,impact_category,is_wildfire_related,daily_fire_count,daily_acres_burned,avg_fire_size,max_fire_size,large_fire_count,large_fire_acres,satellite_detections,total_frp,avg_frp,max_frp,avg_confidence,fires_7day,fires_30day,acres_7day,acres_30day,is_high_severity,is_long_duration,has_active_fire,is_high_fire_activity,kmeans_cluster,hierarchical_cluster,dbscan_cluster
2015-05-11,2015,5,0,2,Spring,0,0,intentional attack,sabotage,1.0,0.0,0.0,Short,Low,0,36.0,342.26,9.507222222222222,300.0,0.0,0.0,5.0,72.3,14.46,27.2,62.6,151.0,666.0,527.0099999998254,10049.420000000016,0,0,1,1,1,0,0
2010-11-23,2010,11,1,4,Fall,1,0,islanding,,251.0,22.0,7077.0,Medium,Low,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.5,11.5,11.5,52.0,19.0,219.0,25.889999999852662,2321.68,0,0,0,0,1,0,0
2013-07-18,2013,7,3,3,Summer,1,0,equipment failure,,620.0,200.0,123000.0,Long,Severe,0,32.0,69.03,2.1571875,32.0,0.0,0.0,60.0,6585.4,109.75666666666666,731.1,89.95,224.0,1284.0,28792.17999999983,41197.49100000001,1,1,1,1,2,1,0
2009-03-08,2009,3,6,1,Spring,0,1,system operability disruption,,89.0,150.0,,Medium,Unknown,0,4.0,0.46,0.115,0.25,0.0,0.0,1.0,6.3,6.3,6.3,52.0,11.0,45.0,81.7599999998763,137.77000000000012,0,0,1,0,1,0,0
2009-07-21,2009,7,1,3,Summer,1,0,equipment failure,generator trip,909.0,136.0,1.0,Long,Low,0,41.0,1471.39,35.88756097560975,1417.0,1.0,1417.0,19.0,718.9,37.83684210526316,138.8,82.42105263157895,331.0,1415.0,12250.429999999877,31566.86,0,1,1,1,2,1,0
2015-04-06,2015,4,0,2,Spring,0,0,system operability disruption,,236.0,,80000.0,Medium,High,0,11.0,1.25,0.1136363636363636,0.21,0.0,0.0,3.0,55.8,18.6,24.6,55.666666666666664,122.0,320.0,87.57999999982538,206.50000000001455,1,0,1,0,1,0,0
2009-12-08,2009,12,1,4,Winter,0,0,system operability disruption,,326.0,,,Medium,Unknown,0,4.0,1.5,0.375,1.0,0.0,0.0,12.0,293.6,24.46666666666667,52.1,64.5,46.0,220.0,28.4099999998545,403.14,0,0,1,0,1,0,0
2007-09-03,2007,9,0,3,Fall,1,0,severe weather,heatwave,300.0,,,Medium,Unknown,0,56.0,112920.87,2016.444107142857,64994.45,2.0,112754.45,19.0,5549.3,292.0684210526316,862.9,81.94736842105263,518.0,1476.0,120289.02999999988,134857.44999999998,0,0,1,1,2,1,0
2008-11-15,2008,11,5,4,Fall,1,1,severe weather,wildfire,751.0,211.0,115500.0,Long,Severe,1,14.0,30321.21,2165.800714285714,30305.0,1.0,30305.0,71.0,27482.5,387.0774647887324,3282.2,89.78873239436619,67.0,404.0,43636.60999999988,47117.77,1,1,1,0,0,0,0
2010-06-25,2010,6,4,2,Summer,1,0,islanding,,122.0,,,Medium,Unknown,0,20.0,13.14,0.657,2.4,0.0,0.0,4.0,182.1,45.525,67.1,75.75,244.0,869.0,1068.9499999998538,8839.42,0,0,1,1,2,1,0
2008-02-09,2008,2,5,1,Winter,0,1,islanding,,214.0,0.0,0.0,Medium,Low,0,6.0,3.2,0.5333333333333333,1.0,0.0,0.0,5.0,46.9,9.38,15.6,60.8,18.0,79.0,8.899999999883589,71.24999999999909,0,0,1,0,1,1,0
2012-02-28,2012,2,1,1,Winter,0,0,islanding,,193.0,1.0,1.0,Medium,Low,0,7.0,10.95,1.5642857142857145,5.0,0.0,0.0,14.0,280.4,20.02857142857143,105.6,65.85714285714286,107.0,296.0,281.33999999985446,436.1000000000002,0,0,1,0,1,1,0
2005-04-22,2005,4,4,2,Spring,0,0,severe weather,thunderstorm,8.0,126.0,,Short,Unknown,0,10.0,10.26,1.026,5.0,0.0,0.0,34.0,1766.4,51.95294117647059,287.0,78.38235294117646,71.0,154.0,140.9599999998836,645.5600000000072,0,0,1,0,1,0,0
2010-11-21,2010,11,6,4,Fall,1,1,severe weather,winter storm,5227.0,75.0,60000.0,Extended,High,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,222.0,107.38999999985266,2323.7799999999997,1,1,0,0,0,0,0
2012-09-06,2012,9,3,3,Fall,1,0,fuel supply emergency,Hydro,,,,Unknown,Unknown,0,29.0,31.76,1.0951724137931036,8.0,0.0,0.0,121.0,13346.2,110.29917355371902,1590.8,86.02479338842976,260.0,1203.0,38223.61999999983,531994.32,0,0,1,1,2,2,0
2004-07-20,2004,7,1,3,Summer,1,0,severe weather,wildfire,1414.0,214.0,,Long,Unknown,1,47.0,12091.2,257.25957446808513,11966.0,1.0,11966.0,25.0,1014.1,40.564,105.3,75.16,321.0,1763.0,26902.18999999988,83250.25,0,1,1,1,2,1,0
2013-10-19,2013,10,5,4,Fall,1,1,intentional attack,,448.0,,,Medium,Unknown,0,19.0,17.240000000000002,0.9073684210526316,5.9,0.0,0.0,2.0,30.8,15.4,19.6,70.0,138.0,588.0,476.24999999982543,3695.38,0,0,1,0,1,0,0
2008-07-07,2008,7,0,3,Summer,1,0,severe weather,heatwave,4605.0,0.0,0.0,Extended,Low,0,32.0,1847.2,57.724999999999994,1779.0,1.0,1779.0,402.0,42059.0,104.62437810945272,1606.3,82.90049751243781,353.0,2055.0,33903.09999999988,1131299.89,0,1,1,1,2,2,1
2007-02-28,2007,2,2,1,Winter,0,0,severe weather,winter storm,4080.0,110.0,671189.0,Extended,Severe,0,8.0,1.8,0.225,1.0,0.0,0.0,5.0,193.1,38.620000000000005,64.9,71.6,38.0,289.0,32.29999999988358,434.9,1,1,1,0,0,0,0
2007-06-01,2007,6,4,2,Summer,1,0,fuel supply emergency,,,,,Unknown,Unknown,0,58.0,1195.72,20.61586206896552,1100.0,1.0,1100.0,3.0,131.0,43.666666666666664,51.2,78.33333333333333,369.0,1219.0,2378.179999999885,16870.079999999998,0,0,1,1,2,1,0
2003-12-20,2003,12,5,4,Winter,0,1,equipment failure,cables,1914.0,150.0,120000.0,Extended,Severe,0,6.0,1.5,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,151.0,34.249999999883585,567.91,1,1,1,0,0,0,0
2008-11-07,2008,11,4,4,Fall,1,0,system operability disruption,,759.0,430.0,400000.0,Long,Severe,0,5.0,4.8,0.96,2.0,0.0,0.0,36.0,708.3,19.674999999999997,97.8,72.86111111111111,32.0,536.0,24.209999999879944,29288.17,1,1,1,0,1,1,0
2014-04-08,2014,4,1,2,Spring,0,0,intentional attack,vandalism,1.0,,,Short,Unknown,0,16.0,5.57,0.348125,2.5,0.0,0.0,2.0,122.4,61.2,79.8,95.5,40.0,225.0,15.449999999825376,599.51,0,0,1,0,1,0,0
