year_month,outage_count,OUTAGE.DURATION,CUSTOMERS.AFFECTED,DEMAND.LOSS.MW,is_high_severity,is_wildfire_related,monthly_fire_count,monthly_acres_burned,avg_fire_size,max_fire_size,most_common_cause
2006-06-01,0,0.0,0.0,0.0,0,0,1502.0,49135.62,32.713462050599205,14988.0,Equipment Use
2006-07-01,3,2577.0,1271893.0,436.3333333333333,1,0,2043.0,403677.06,197.59033773861967,66113.0,Lightning
2006-08-01,0,0.0,0.0,0.0,0,0,1267.0,21084.94,16.641625887924228,4864.0,Equipment Use
2006-09-01,0,0.0,0.0,0.0,0,0,911.0,229065.28,251.44377607025248,162702.0,Miscellaneous
2006-10-01,1,334.0,130000.0,308.0,1,0,746.0,47262.51,63.354571045576414,40200.0,Miscellaneous
2006-11-01,0,0.0,0.0,0.0,0,0,318.0,2049.58,6.445220125786164,640.0,Miscellaneous
2006-12-01,2,4315.5,850068.0,320.0,1,0,279.0,35036.94,125.5804301075269,30000.0,Miscellaneous
2007-01-01,0,0.0,0.0,0.0,0,0,506.0,2283.13,4.512114624505929,671.0,Miscellaneous
2007-02-01,1,4080.0,671189.0,110.0,1,0,268.0,336.5,1.2555970149253732,169.0,Miscellaneous
2007-03-01,0,0.0,0.0,0.0,0,0,419.0,9841.74,23.488639618138425,4100.0,Miscellaneous
2007-04-01,2,1042.0,158977.0,165.0,1,0,569.0,4593.72,8.073321616871706,1988.0,Miscellaneous
2007-05-01,3,189.0,0.0,146.66666666666666,0,0,1199.0,15694.16,13.089374478732276,4750.0,Miscellaneous
2007-06-01,1,0.0,0.0,0.0,0,0,1451.0,27176.88,18.72975878704342,4200.0,Miscellaneous
2007-07-01,1,3301.0,0.0,0.0,0,0,1773.0,316140.08,178.30799774393685,240207.0,Miscellaneous
2007-08-01,3,686.3333333333334,26000.0,180.0,0,0,1496.0,20305.27,13.573041443850268,5600.0,Miscellaneous
2007-09-01,2,360.0,0.0,0.0,0,0,979.0,135061.66999999998,137.9588049029622,64994.45,Miscellaneous
2007-10-01,5,399.2,116689.6,374.0,4,4,784.0,506937.07,646.603405612245,197990.0,Miscellaneous
2007-11-01,0,0.0,0.0,0.0,0,0,454.0,6701.34,14.760660792951542,4901.0,Miscellaneous
2007-12-01,0,0.0,0.0,0.0,0,0,253.0,220.06,0.869802371541502,97.0,Miscellaneous
2008-01-01,3,5380.0,1378465.5,400.0,2,0,80.0,121.0,1.5125,42.0,Miscellaneous
2008-02-01,4,515.5,5004.0,5.0,0,0,106.0,588.85,5.555188679245283,400.0,Miscellaneous
2008-03-01,0,0.0,0.0,0.0,0,0,244.0,1045.42,4.284508196721312,680.0,Debris Burning
