fire_date,daily_fire_count,daily_acres_burned,avg_fire_size,max_fire_size,avg_lat,avg_lon,fires_7day,fires_30day,acres_7day,acres_30day
1999-05-22,35.0,763.9,21.825714285714284,377.0,38.014333684571426,-120.83082015714285,173.0,544.0,1170.4999999999854,2528.9000000000074
1999-05-23,34.0,74.5,2.1911764705882355,20.0,36.65593094970588,-119.46276500205882,183.0,555.0,1226.3999999999855,2583.100000000007
1999-05-24,24.0,18.2,0.7583333333333333,7.0,35.766310984166665,-118.96908030916667,184.0,558.0,1008.5999999999855,2454.200000000007
1999-05-25,33.0,25.4,0.7696969696969697,10.0,37.34644381030303,-120.25739007,191.0,579.0,1011.0999999999855,2476.9000000000074
1999-05-26,21.0,36.0,1.7142857142857142,11.0,37.04228465952381,-119.62365191380952,194.0,592.0,1022.3999999999854,2507.100000000007
1999-05-27,40.0,14081.1,352.02750000000003,14000.0,35.76905563275,-118.59367221299999,214.0,622.0,15045.599999999986,16546.500000000007
1999-05-28,37.0,105.6,2.8540540540540538,80.0,37.37487122864865,-119.92332049891893,224.0,647.0,15104.699999999986,16619.900000000005
1999-05-29,46.0,172.9,3.758695652173913,40.0,37.915097975869564,-120.49655422217391,235.0,683.0,14513.699999999986,16778.40000000001
1999-05-30,46.0,30.9,0.6717391304347826,5.0,38.14050214391305,-120.55562824739131,247.0,701.0,14470.099999999986,16797.500000000007
1999-05-31,52.0,371.2,7.138461538461538,150.0,37.30733543576923,-120.0674441321154,275.0,739.0,14823.099999999986,17152.300000000007
1999-06-01,25.0,52.0,2.08,35.0,37.595544816,-120.33245856159999,267.0,754.0,14849.699999999986,17159.400000000005
1999-06-02,15.0,62.1,4.14,40.0,37.571190062666666,-120.55927768933334,261.0,767.0,14875.799999999987,17221.300000000007
1999-06-03,18.0,27.299999999999997,1.5166666666666666,12.0,37.43554907722222,-120.82085148555555,239.0,778.0,821.9999999999854,17226.100000000006
1999-06-04,15.0,31.7,2.1133333333333333,17.0,37.422892960666665,-120.51369867866667,217.0,776.0,748.0999999999854,17021.700000000008
1999-06-05,31.0,95.89999999999999,3.093548387096774,51.0,37.666188322903224,-120.50100717354839,202.0,789.0,671.0999999999854,17104.900000000005
1999-06-06,57.0,149.4,2.6210526315789475,80.0,37.89335411561403,-120.53615264456141,213.0,829.0,789.5999999999854,17230.600000000006
1999-06-07,32.0,112.7,3.521875,80.0,37.86667276875,-120.781561925,193.0,840.0,531.0999999999855,17250.300000000007
1999-06-08,42.0,263.2,6.266666666666667,197.0,37.87262586047619,-120.73411662333332,210.0,862.0,742.2999999999854,17451.500000000007
1999-06-09,29.0,601.1,20.727586206896554,493.0,37.90310861724138,-120.69642651034484,224.0,875.0,1281.2999999999854,18040.600000000006
1999-06-10,32.0,38.0,1.1875,10.0,38.959255413437496,-121.5790930196875,238.0,892.0,1291.9999999999854,18074.200000000008
1999-06-11,58.0,754.4,13.006896551724138,400.0,37.37564308517241,-120.22230468206897,281.0,929.0,2014.6999999999853,18771.200000000008
1999-06-12,47.0,256.7,5.461702127659574,65.0,37.15211769765958,-120.00879544276596,297.0,952.0,2175.4999999999854,19016.300000000007
1999-06-13,39.0,70.1,1.7974358974358973,25.0,37.16413968641026,-119.88102424794873,279.0,978.0,2096.1999999999853,18648.90000000001
1999-06-14,35.0,151.6,4.331428571428571,116.0,36.845693348285714,-119.99218399285715,282.0,981.0,2135.0999999999854,18752.500000000007
1999-06-15,38.0,345.6,9.094736842105263,111.0,37.05435454105263,-119.86061263763158,278.0,995.0,2217.4999999999854,19079.500000000007
1999-06-16,43.0,59.4,1.3813953488372093,10.0,36.819084287906975,-120.08450988813954,292.0,1015.0,1675.7999999999854,18902.900000000005
1999-06-17,50.0,63.6,1.272,15.0,36.5938383576,-119.3990231952,310.0,1039.0,1701.3999999999855,18943.60000000001
1999-06-18,30.0,2185.5,72.85,2000.0,36.720978693999996,-120.037180457,282.0,1051.0,3132.4999999999854,21104.40000000001
1999-06-19,50.0,735.3,14.706,300.0,36.9403537822,-120.02850622919999,285.0,1081.0,3611.099999999986,21781.800000000007
1999-06-20,96.0,189.6,1.9749999999999999,100.0,35.0172813940625,-118.591492304375,342.0,1150.0,3730.5999999999854,21924.900000000005
1999-06-21,36.0,106.7,2.963888888888889,50.0,37.30778463555556,-120.22362742222224,343.0,1151.0,3685.6999999999853,21267.700000000008
1999-06-22,37.0,2058.7,55.640540540540535,1375.0,38.04770763378379,-120.74338056783785,342.0,1154.0,5398.799999999985,23251.90000000001
1999-06-23,35.0,362.40000000000003,10.354285714285716,331.0,37.854128818,-120.71905311914286,334.0,1165.0,5701.799999999986,23596.100000000006
1999-06-24,52.0,509.3,9.794230769230769,350.0,37.272033635576925,-120.05697640423077,336.0,1184.0,6147.499999999985,24080.000000000007
1999-06-25,53.0,141.6,2.671698113207547,40.0,36.87058764150944,-119.92497895226414,359.0,1216.0,4103.599999999985,24185.600000000006
1999-06-26,45.0,138.7,3.0822222222222218,85.0,36.91752919355555,-120.08643626511112,354.0,1221.0,3506.999999999985,10243.200000000008
1999-06-27,51.0,1329.1000000000001,26.06078431372549,631.0,37.149185413333335,-119.9750717107843,309.0,1235.0,4646.499999999985,11466.700000000006
1999-06-28,62.0,245.3,3.956451612903226,75.0,37.39506308241935,-120.17211920145161,335.0,1251.0,4785.099999999986,11539.100000000008
1999-06-29,55.0,1312.1,23.856363636363636,810.0,37.60245285963636,-120.41916531945454,353.0,1260.0,4038.4999999999854,12820.300000000007
1999-06-30,56.0,56.1,1.0017857142857143,10.0,37.91196570428571,-120.66682863410713,374.0,1264.0,3732.1999999999853,12505.200000000006
1999-07-01,54.0,194.8,3.6074074074074076,100.0,37.636092545370374,-120.35430566185185,376.0,1293.0,3417.6999999999853,12648.000000000007
1999-07-02,62.0,2159.0,34.82258064516129,2000.0,37.908382867419355,-120.81307395403226,385.0,1340.0,5435.099999999986,14744.900000000007
1999-07-03,94.0,308.8,3.2851063829787237,110.0,37.43094064468085,-120.22909709510638,434.0,1416.0,5605.199999999985,15026.400000000007
1999-07-04,129.0,348.6,2.702325581395349,125.0,37.62663476100775,-120.51603586860465,512.0,1530.0,4624.699999999985,15343.300000000007
1999-07-05,99.0,801.0,8.090909090909092,450.0,37.64255811616162,-120.5540490730303,549.0,1598.0,5180.399999999985,16048.400000000007
1999-07-06,51.0,3069.3,60.182352941176475,2576.0,37.85654927666667,-120.74082832705882,545.0,1592.0,6937.599999999986,18968.300000000007
1999-07-07,62.0,214.3,3.456451612903226,42.0,37.38743196629032,-120.07498928999999,551.0,1622.0,7095.799999999986,19069.900000000005
1999-07-08,61.0,440.9,7.227868852459016,268.0,38.50149432836066,-120.93026982639344,558.0,1641.0,7341.899999999986,19247.600000000006
1999-07-09,43.0,89.3,2.0767441860465117,26.0,37.24090894069767,-119.92122263302325,539.0,1655.0,5272.199999999985,18735.800000000007
1999-07-10,63.0,152.9,2.4269841269841272,60.0,36.94784678269841,-119.51036977952381,508.0,1686.0,5116.299999999986,18850.700000000008
1999-07-11,140.0,4143.1,29.59357142857143,2299.0,36.390417698571426,-119.21274456292856,519.0,1768.0,8910.799999999985,22239.400000000005
1999-07-12,64.0,403.6,6.30625,298.0,37.2345154571875,-119.9670130975,484.0,1785.0,8513.399999999985,22386.30000000001
1999-07-13,103.0,1964.2,19.06990291262136,1185.0,38.14820976728156,-120.26750786524272,536.0,1849.0,7408.299999999986,24280.40000000001
1999-07-14,112.0,1315.0,11.741071428571429,865.8,38.87513614669643,-120.67354843946428,586.0,1926.0,8508.999999999985,25443.80000000001
1999-07-15,42.0,191.1,4.55,80.0,38.079354842142855,-120.5082243942857,567.0,1930.0,8259.199999999986,25289.300000000007
1999-07-16,37.0,17.7,0.4783783783783784,3.0,37.76941754216216,-120.49841146810812,561.0,1924.0,8187.599999999986,25247.60000000001
1999-07-17,54.0,2690.9,49.83148148148148,2000.0,37.93530422,-120.4995233085185,552.0,1928.0,10725.599999999986,27874.900000000005
1999-07-18,46.0,14619.9,317.8239130434782,14537.0,37.15636371043478,-120.11707561652175,458.0,1944.0,21202.399999999987,40309.3
1999-07-19,31.0,86.0,2.774193548387097,42.0,37.67697282612903,-120.58368249903226,425.0,1925.0,20884.79999999999,39660.000000000015
1999-07-20,37.0,107.2,2.8972972972972975,40.0,36.91859774540541,-119.72588948702702,359.0,1866.0,19027.799999999985,39577.600000000006
1999-07-21,41.0,692.0,16.878048780487806,350.0,37.602274253658535,-120.44977013804878,288.0,1871.0,18404.799999999985,40162.90000000001
1999-07-22,42.0,99.10000000000001,2.3595238095238096,60.0,37.60842527642857,-120.51382412285714,288.0,1876.0,18312.799999999985,38203.30000000001
1999-07-23,47.0,291.3,6.1978723404255325,65.0,37.97289000234043,-120.4442386112766,298.0,1888.0,18586.399999999987,38132.20000000001
1999-07-24,87.0,2592.0,29.79310344827586,1147.0,39.69661901149425,-121.8859354891954,331.0,1923.0,18487.499999999985,40214.90000000001
1999-07-25,38.0,4113.4,108.24736842105263,4035.0,37.606439639473685,-120.25177461578949,323.0,1908.0,7980.999999999985,44186.70000000001
1999-07-26,30.0,47.8,1.5933333333333333,15.0,36.54179614233333,-119.38713222033333,322.0,1893.0,7942.799999999986,44095.80000000001
1999-07-27,42.0,50.3,1.1976190476190476,20.0,37.726371800476194,-120.22113792166667,327.0,1884.0,7885.899999999986,42817.00000000001
1999-07-28,47.0,495.8,10.548936170212766,350.0,36.965189429148936,-119.80781616744682,333.0,1869.0,7689.699999999985,43067.50000000001
1999-07-29,36.0,162.3,4.508333333333334,55.0,37.134510337500004,-119.75326681861111,327.0,1850.0,7752.899999999985,41917.70000000001
1999-07-30,34.0,276.5,8.132352941176471,72.0,37.74919646088235,-120.55956030823529,314.0,1828.0,7738.099999999985,42138.100000000006
1999-07-31,45.0,90.8,2.017777777777778,30.0,38.11199613088889,-120.47083336755556,272.0,1819.0,5236.899999999986,42034.100000000006
1999-08-01,45.0,106.5,2.3666666666666667,30.0,37.39380660755556,-119.85919697288888,279.0,1802.0,1229.9999999999864,39981.600000000006
1999-08-02,37.0,295.2,7.978378378378378,200.0,37.61788495540541,-120.44222778459459,286.0,1745.0,1477.3999999999864,39968.00000000001
1999-08-03,33.0,67.60000000000001,2.048484848484849,42.0,36.87187027939394,-119.64360587272728,277.0,1649.0,1494.6999999999864,39687.00000000001
1999-08-04,58.0,5543.5,95.57758620689656,4820.0,39.10143346827586,-120.50655961431035,288.0,1608.0,6542.399999999986,44429.50000000001
1999-08-05,40.0,342.09999999999997,8.552499999999998,225.0,37.680194846,-119.94103020749999,292.0,1597.0,6722.199999999986,41702.3
1999-08-06,81.0,387.2,4.780246913580247,326.0,39.54156080802469,-121.45264835679012,339.0,1616.0,6832.899999999986,41875.20000000001
1999-08-07,54.0,202.1,3.7425925925925925,125.0,37.81719406870371,-120.50679147833334,348.0,1609.0,6944.199999999985,41636.40000000001
